category,precision,recall,f1-score,support
Alimentación,0.96875,0.9117647058823529,0.9393939393939394,34.0
Astronomía,0.9411764705882353,0.9411764705882353,0.9411764705882353,34.0
Economía,0.7948717948717948,0.9117647058823529,0.8493150684931506,34.0
Moda,1.0,0.9428571428571428,0.9705882352941176,35.0
Medicina,0.9714285714285714,1.0,0.9855072463768116,34.0
Defensa,0.9166666666666666,0.9705882352941176,0.9428571428571428,34.0
Motor,1.0,0.8285714285714286,0.90625,35.0
Entretenimiento,0.96875,0.9117647058823529,0.9393939393939394,34.0
Política,0.8378378378378378,0.9117647058823529,0.8732394366197183,34.0
Religión,0.9090909090909091,0.8823529411764706,0.8955223880597015,34.0
Deportes,0.9714285714285714,1.0,0.9855072463768116,34.0
Tecnología,0.8857142857142857,0.9117647058823529,0.8985507246376812,34.0
accuracy,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683
macro avg,0.9304762589689061,0.9270308123249301,0.9272751531742709,410.0
weighted avg,0.9308153991690576,0.926829268292683,0.9273295139765771,410.0
